City,Food_waste,Paper,Wood,Textiles,Plastics,Noncombustibles,Glass,Metal
Beijing,66.2,10.9,3.3,1.2,13.1,3.9,1,0.4
Chengdu,65.7,13,0.9,2.5,12,2.1,0.8,2.9
Chongqing,59.2,10.1,4.2,6.1,16,0,3.4,1.1
Dalian,63.7,8.8,0,2,18.6,1.2,5,0.8
Guangzhou,53.4,8.3,1.7,10,18.6,6.2,1.4,0.4
Hangzhou,64.5,6.7,0.1,1.2,10.1,15.1,2,0.3
Harbin,44.8,13.4,0,4.7,3.3,24.5,6.6,2.7
Hefei,61.5,1.9,0.9,2.1,11.4,21.7,0.6,0
Lanzhou,36.5,9.7,1.4,2.1,11.3,37.8,0.9,0.2
Lhasa,57,6,14,7,12,3,0,1
Qingdao,69,9.5,2.3,3,8.4,6.8,2.2,0.9
Shanghai,63.8,11.1,1.1,2.6,17.2,1.1,2.7,0.4
Shenyang,60.4,7.9,2.5,3.6,12.9,5.3,5.4,2.1
Shenzhen,51.1,17.2,3.9,2.7,21.8,0.8,2.1,0.4
Suzhou,62.6,10.9,0.9,4.2,18.6,0.7,2,0.2
Tianjin,56.9,15.3,1.6,3.9,16.9,2.9,1.6,0.7
Urumqi,76,2.4,2.5,4.2,5.4,6.4,2.4,0.8
Wuhan,55.3,1.5,8.3,0,4.5,27.3,2,1.1
